architectures;sparsity;quantized;params;nonzero_params;actual_sparsity;loss;top-1;top-3;val_loss;val_top-1;val_top-3;file_size;inference_time;peak_mem;compressed_file_size
MobileNet;0;0;3239114;3239114;0.0;0.5294;0.814;0.965;0.8586;0.7277;0.9226;12.8453;11803;16.1016;11.9705
MobileNet;0.3;0;3239114;2412025;0.2553;0.24;0.9198;0.9888;0.7297;0.7788;0.9414;12.8453;11392;16.2148;9.7589
MobileNet;0.6;0;3239114;1418549;0.5621;0.28;0.9022;0.9872;0.7591;0.7695;0.9384;12.8453;11594;16.1289;6.4475
MobileNet;0.9;0;3239114;447595;0.8618;0.8377;0.7094;0.919;0.974;0.6716;0.8941;12.8451;11303;16.0625;2.6302
MobileNet;0;1;3239114;3239114;0.0;0.5494;0.8268;0.9693;0.9456;0.7401;0.9312;3.6149;3750;6.0156;3.0676
MobileNet;0.3;1;3239114;2412025;0.2553;0.2441;0.9259;0.9899;0.8395;0.7887;0.9471;3.6149;3798;6.0547;2.8213
MobileNet;0.6;1;3239114;1418549;0.5621;0.2845;0.9135;0.9889;0.8792;0.7811;0.9455;3.6149;3812;6.1601;2.0976
MobileNet;0.9;1;3239114;447595;0.8618;0.8618;0.7293;0.9295;1.0254;0.6903;0.9073;3.6147;3802;6.1602;0.9179
MobileNetV2;0;0;2270794;2270794;0.0;0.4631;0.846;0.9715;1.0271;0.7325;0.9263;8.9153;4961;11.2148;8.3200
MobileNetV2;0.3;0;2270794;1709482;0.2472;0.1784;0.9399;0.9931;0.8159;0.7793;0.9453;8.9153;4972;11.2656;6.8241
MobileNetV2;0.6;0;2270794;1035311;0.5441;0.5032;0.8257;0.9655;0.8559;0.7347;0.9231;8.9153;4933;11.2891;4.5646
MobileNetV2;0.9;0;2270794;376361;0.8343;1.3049;0.5452;0.8364;1.3433;0.5305;0.8313;8.9153;4948;11.2617;1.9501
MobileNetV2;0;1;2270794;2270794;0.0;0.5122;0.8621;0.9766;1.2727;0.7507;0.9411;2.8626;2843;6.9141;2.2957
MobileNetV2;0.3;1;2270794;1709482;0.2472;0.1821;0.9471;0.9942;1.0296;0.7891;0.9556;2.8626;2845;6.875;2.1232
MobileNetV2;0.6;1;2270794;1035311;0.5441;0.5321;0.8669;0.9765;0.9689;0.7764;0.9443;2.8626;2842;6.9258;1.6254
MobileNetV2;0.9;1;2270794;376361;0.8343;1.3311;0.617;0.8726;1.3758;0.5991;0.8691;2.8626;2862;6.9219;0.8167
MobileNetV3 Large;0;0;4239242;4239242;0.0;0.6464;0.7749;0.9485;0.9669;0.6934;0.9064;16.8829;8051;20.4141;15.6894
MobileNetV3 Large;0.3;0;4239242;3164969;0.2534;0.4002;0.8625;0.9773;0.7791;0.7455;0.934;16.8829;7992;20.418;12.7800
MobileNetV3 Large;0.6;0;4239242;1874706;0.5578;0.5239;0.8154;0.9663;0.8218;0.7247;0.9302;16.8829;8098;20.375;8.4288
MobileNetV3 Large;0.9;0;4239242;613576;0.8553;1.1601;0.5879;0.8677;1.2;0.5772;0.8625;16.8829;8048;20.4727;3.5205
MobileNetV3 Large;0;1;4239242;4239242;0.0;1.7447;0.4184;0.7951;1.8544;0.3963;0.7743;4.9440;5259;6.93359;3.9812
MobileNetV3 Large;0.3;1;4239242;3164969;0.2534;0.5582;0.8249;0.966;1.0082;0.726;0.9265;4.9440;5243;6.9727;3.6720
MobileNetV3 Large;0.6;1;4239242;1874706;0.5578;0.6583;0.7854;0.9579;0.9867;0.7046;0.9194;4.9440;5292;6.9805;2.7480
