architectures;sparsity;quantized;params;nonzero_params;actual_sparsity;loss;top-1;top-3;val_loss;val_top-1;val_top-3;file_size;inference_time;peak_mem;compressed_file_size
MobileNetV3 Large (minimalistic);0;0;2680498;2680498;0.0;0.466;0.8388;0.9757;1.1438;0.6949;0.9128;10.612;5296.52;14.2344;9.8273
MobileNetV3 Large (minimalistic);0.3;0;2680498;2001865;0.2532;0.2477;0.9139;0.9908;0.9641;0.7277;0.9273;10.612;5147.52;14.3555;7.9897
MobileNetV3 Large (minimalistic);0.6;0;2680498;1186790;0.5573;0.831;0.7254;0.9348;1.0289;0.6534;0.8992;10.612;5355.92;14.0703;5.2256
MobileNetV3 Large (minimalistic);0.9;0;2680498;390118;0.8545;1.7011;0.3941;0.733;1.7248;0.3863;0.7317;10.612;5074.65;14.4102;2.1741
MobileNetV3 Large (minimalistic);0;1;2680498;2680498;0.0;0.5075;0.8479;0.9781;1.432;0.705;0.9269;3.1612;2838.57;5.5742;2.7666
MobileNetV3 Large (minimalistic);0.3;1;2680498;2001865;0.2532;0.256;0.9165;0.9917;1.2013;0.7319;0.9351;3.1612;2868.45;5.7344;2.4800
MobileNetV3 Large (minimalistic);0.6;1;2680498;1186790;0.5573;0.791;0.7358;0.9384;1.0235;0.6633;0.9041;3.1612;2833.45;6.0039;1.8201
MobileNetV3 Large (minimalistic);0.9;1;2680498;390118;0.8545;3.1007;0.2046;0.6152;3.1187;0.2052;0.6154;3.1612;2832.66;5.5938;0.8068
MobileNetV3 Small (minimalistic);0;0;1042098;1042098;0.0;0.8687;0.7015;0.9283;1.2441;0.6099;0.8755;4.1234;1825.79;6.1797;3.8070
MobileNetV3 Small (minimalistic);0.3;0;1042098;780982;0.2506;0.6537;0.766;0.9511;1.0396;0.6514;0.8947;4.1234;1784.35;6.0078;3.0965
MobileNetV3 Small (minimalistic);0.6;0;1042098;467360;0.5515;1.0703;0.6215;0.8897;1.2004;0.5723;0.8556;4.1234;1768.9;6.0781;2.0399
MobileNetV3 Small (minimalistic);0.9;0;1042098;160823;0.8457;1.7517;0.3559;0.7108;1.7454;0.3587;0.7127;4.1234;1796.02;6.0156;0.8648
MobileNetV3 Small (minimalistic);0;1;1042098;1042098;0.0;0.947;0.7228;0.9338;1.4627;0.6343;0.8879;1.3065;1117.71;4.37891;1.1062
MobileNetV3 Small (minimalistic);0.3;1;1042098;780982;0.2506;0.6667;0.7738;0.9539;1.1225;0.6571;0.9044;1.3065;1123.67;4.3125;0.9982
MobileNetV3 Small (minimalistic);0.6;1;1042098;467360;0.5515;1.0761;0.6529;0.9039;1.2151;0.5996;0.8751;1.3065;1117.83;4.3867;0.7458
MobileNetV3 Small (minimalistic);0.9;1;1042098;160823;0.8457;1.7526;0.3704;0.7193;1.7489;0.3692;0.7208;1.3065;1133.52;4.4688;0.3582
